CASE,STARTED,condition,time_min,attn_pass,effort_pass,distraction_pass,excluded,in_full_sample,in_quality_sample,bayes_1,bayes_2,bayes_3,bayes_total,bayes_prop,TP01_correct,TP02_correct,TP03_correct,TP04_correct,TP05_correct,accuracy
396.0,2026-01-05 12:50:13,treatment,4.3,False,True,True,True,False,False,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0
397.0,2026-01-05 12:54:45,treatment,27.616666666666667,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,3.0
400.0,2026-01-05 13:30:00,control,13.4,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
401.0,2026-01-05 13:50:16,treatment,13.116666666666667,True,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402.0,2026-01-05 14:06:00,treatment,27.616666666666667,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
404.0,2026-01-05 14:48:38,treatment,14.233333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
406.0,2026-01-05 15:34:29,treatment,18.466666666666665,False,True,True,True,False,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0
408.0,2026-01-05 15:57:23,control,13.8,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
409.0,2026-01-05 16:11:21,control,12.4,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
411.0,2026-01-05 16:39:13,control,23.85,True,True,True,False,True,True,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,2.0
412.0,2026-01-05 17:05:58,control,14.783333333333333,True,True,True,False,True,False,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,2.0
413.0,2026-01-05 17:21:31,control,14.816666666666666,True,True,True,False,True,False,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
414.0,2026-01-05 17:36:29,treatment,8.466666666666667,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0
416.0,2026-01-05 18:01:47,control,12.65,True,True,False,True,False,False,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
417.0,2026-01-05 18:23:26,control,7.5,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
420.0,2026-01-05 19:29:05,control,14.85,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
426.0,2026-01-05 19:55:46,control,9.983333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
432.0,2026-01-05 20:44:20,treatment,10.733333333333333,True,True,True,False,True,False,1.0,0.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
436.0,2026-01-05 21:07:46,control,11.95,True,True,True,False,True,False,0.0,1.0,1.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
437.0,2026-01-05 21:20:02,control,6.35,True,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
438.0,2026-01-05 21:31:48,treatment,15.266666666666667,True,False,True,True,False,False,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0
